observationID,recordKey,gridReference,siteKey,siteName,featureKey,startDate,endDate,pTaxonVersionKey,taxonName,authority,commonName
463173441,5191,TL86,,,162276,14/12/2004,14/12/2004,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173443,5193,TL86,,,162276,22/12/2004,22/12/2004,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173445,5195,TL86,,,162276,21/01/2005,21/01/2005,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173447,5197,TL86,,,162276,05/02/2005,05/02/2005,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173449,5199,TL86,,,162276,22/12/2005,22/12/2005,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173451,5201,TL86,,,162276,23/01/2006,23/01/2006,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173453,5203,TL86,,,162276,04/02/2006,04/02/2006,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173455,5205,TL86,,,162276,08/12/2006,08/12/2006,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173457,5207,TL86,,,162276,21/12/2006,21/12/2006,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173460,5210,TL86,,,162276,10/01/2007,10/01/2007,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173463,5213,TL86,,,162276,03/02/2007,03/02/2007,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173465,5215,TL86,,,162276,20/12/2007,20/12/2007,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173467,5217,TL86,,,162276,11/01/2008,11/01/2008,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173469,5219,TL86,,,162276,02/02/2008,02/02/2008,NHMSYS0000080184,Myotis nattereri,"(Kuhl, 1817)",Natterer's Bat
463173491,20060,SS59,,,154618,24/02/2013,24/02/2013,NHMSYS0000080177,Rhinolophus hipposideros,"(Bechstein, 1800)",Lesser Horseshoe Bat
463173496,6032,SS59,,,154618,30/01/2011,30/01/2011,NHMSYS0000080177,Rhinolophus hipposideros,"(Bechstein, 1800)",Lesser Horseshoe Bat
463173502,9854,SM80,,,150131,13/09/2003,13/09/2003,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173503,9855,SM80,,,150131,17/09/2003,17/09/2003,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173504,9858,SM80,,,150131,19/12/2009,19/12/2009,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173505,9886,SM72,,,150110,30/03/1979,30/03/1979,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173507,6798,SR99,,,154433,01/03/1998,01/03/1998,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173508,6799,SR99,,,154433,01/03/1998,01/03/1998,NHMSYS0000080177,Rhinolophus hipposideros,"(Bechstein, 1800)",Lesser Horseshoe Bat
463173510,6801,SR99,,,154433,23/12/1977,23/12/1977,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173511,6802,SR99,,,154433,17/01/1978,17/01/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173512,6803,SR99,,,154433,03/04/1978,03/04/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173513,6804,SR99,,,154433,10/04/1978,10/04/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173514,6805,SR99,,,154433,24/04/1978,24/04/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173515,6806,SR99,,,154433,01/05/1978,01/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173516,6807,SR99,,,154433,02/05/1978,02/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173517,6808,SR99,,,154433,03/05/1978,03/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173518,6809,SR99,,,154433,04/05/1978,04/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173519,6810,SR99,,,154433,05/05/1978,05/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173520,6811,SR99,,,154433,08/05/1978,08/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173521,6812,SR99,,,154433,12/05/1978,12/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173522,6813,SR99,,,154433,13/05/1978,13/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173523,6814,SR99,,,154433,17/05/1978,17/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173524,6815,SR99,,,154433,21/05/1978,21/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173525,6816,SR99,,,154433,23/05/1978,23/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173526,6817,SR99,,,154433,25/05/1978,25/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173527,6818,SR99,,,154433,27/05/1978,27/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173528,6819,SR99,,,154433,29/05/1978,29/05/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173529,6820,SR99,,,154433,23/07/1978,23/07/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
463173530,6821,SR99,,,154433,09/10/1978,09/10/1978,NHMSYS0000080176,Rhinolophus ferrumequinum,"(Schreber, 1774)",Greater Horseshoe Bat
